# Ping pong run at Tue Mar 12 10:49:52 2024
# Data Size 512
# Processor 0 with MPI name: lac-079
# Processor 1 with MPI name: lac-421
# iteration, total time taken
1,  6.23809e-05
2,  2.28798e-05
3,  4.17382e-05
4,  2.35206e-05
5,  2.75476e-05
6,  2.14428e-05
7,  2.00709e-05
8,  2.01706e-05
9,  1.99862e-05
10,  1.98307e-05
11,  1.99219e-05
12,  3.05045e-05
13,  1.98865e-05
14,  1.95904e-05
15,  2.00942e-05
16,  1.88192e-05
17,  1.96295e-05
18,  1.99284e-05
19,  2.03438e-05
20,  1.94879e-05
21,  3.06973e-05
22,  2.81679e-05
23,  4.0154e-05
24,  2.79816e-05
25,  2.13478e-05
26,  2.33352e-05
27,  1.95559e-05
28,  2.03e-05
29,  2.07238e-05
30,  2.06633e-05
31,  2.51681e-05
32,  1.91554e-05
33,  2.01538e-05
34,  2.00514e-05
35,  2.52612e-05
36,  1.90903e-05
37,  2.48486e-05
38,  2.02209e-05
39,  2.00914e-05
40,  2.05562e-05
41,  2.02823e-05
42,  2.35159e-05
43,  1.90819e-05
44,  2.51355e-05
45,  2.05785e-05
46,  2.97111e-05
47,  2.06698e-05
48,  1.91219e-05
49,  1.99471e-05
50,  2.0083e-05
51,  1.98977e-05
52,  1.91201e-05
53,  2.487e-05
54,  2.04165e-05
55,  2.03047e-05
56,  2.03894e-05
57,  2.02348e-05
58,  2.39424e-05
59,  1.94544e-05
60,  2.0762e-05
61,  2.0138e-05
62,  1.9189e-05
63,  4.71016e-05
64,  1.99797e-05
65,  2.55937e-05
66,  1.90176e-05
67,  2.97939e-05
68,  1.94833e-05
69,  1.90986e-05
70,  1.91247e-05
71,  2.42237e-05
72,  4.17829e-05
73,  1.93277e-05
74,  2.05543e-05
75,  4.73661e-05
76,  2.27364e-05
77,  1.95196e-05
78,  1.94088e-05
79,  1.93324e-05
80,  1.88192e-05
81,  1.9162e-05
82,  2.42898e-05
83,  1.94088e-05
84,  2.00504e-05
85,  1.92877e-05
86,  2.54484e-05
87,  1.89347e-05
88,  1.92802e-05
89,  1.93259e-05
90,  2.63257e-05
91,  1.94758e-05
92,  2.61813e-05
93,  2.68584e-05
94,  1.96202e-05
95,  1.93259e-05
96,  1.88844e-05
97,  1.99694e-05
98,  1.93659e-05
99,  1.92886e-05
100,  1.91247e-05
