# Ping pong run at Thu Mar  7 11:25:32 2024
# Data Size 2
# Processor 0 with MPI name: lac-240
# Processor 1 with MPI name: lac-241
# iteration, total time taken
1,  7.28965e-05
2,  3.19574e-05
3,  1.72881e-05
4,  2.57529e-05
5,  2.78354e-05
6,  1.92728e-05
7,  3.28738e-05
8,  2.70167e-05
9,  1.86767e-05
10,  2.16169e-05
11,  2.44034e-05
12,  2.50647e-05
13,  2.46363e-05
14,  2.44062e-05
15,  2.4314e-05
16,  2.45627e-05
17,  2.60379e-05
18,  2.47853e-05
19,  2.46391e-05
20,  2.46372e-05
21,  2.47257e-05
22,  2.44351e-05
23,  2.45618e-05
24,  2.53003e-05
25,  1.86134e-05
26,  2.49594e-05
27,  2.39769e-05
28,  3.84748e-05
29,  2.40086e-05
30,  2.43997e-05
31,  3.95058e-05
32,  3.88026e-05
33,  2.52137e-05
34,  2.50982e-05
35,  2.41874e-05
36,  2.4409e-05
37,  2.43206e-05
38,  1.99592e-05
39,  2.49855e-05
40,  2.45702e-05
41,  1.94386e-05
42,  1.7901e-05
43,  2.4315e-05
44,  2.52463e-05
45,  1.89692e-05
46,  1.82288e-05
47,  1.8456e-05
48,  1.75666e-05
49,  1.81887e-05
50,  1.77585e-05
51,  1.7833e-05
52,  1.75582e-05
53,  2.92063e-05
54,  1.83657e-05
55,  2.95416e-05
56,  1.95717e-05
57,  3.91603e-05
58,  1.83787e-05
59,  2.59448e-05
60,  2.93311e-05
61,  2.75187e-05
62,  2.96868e-05
63,  2.67932e-05
64,  2.86549e-05
65,  2.5196e-05
66,  1.70637e-05
67,  2.71173e-05
68,  1.88034e-05
69,  3.05567e-05
70,  2.91951e-05
71,  1.68579e-05
72,  2.24523e-05
73,  2.89213e-05
74,  3.75584e-05
75,  2.65641e-05
76,  1.8321e-05
77,  2.40952e-05
78,  3.02801e-05
79,  3.62489e-05
80,  3.03537e-05
81,  1.75573e-05
82,  2.35634e-05
83,  2.33687e-05
84,  2.83103e-05
85,  3.31253e-05
86,  3.04775e-05
87,  2.97446e-05
88,  2.50312e-05
89,  2.26926e-05
90,  1.77231e-05
91,  1.63773e-05
92,  2.85227e-05
93,  3.02596e-05
94,  2.67969e-05
95,  2.3419e-05
96,  3.76673e-05
97,  3.68096e-05
98,  2.40114e-05
99,  2.48477e-05
100,  2.89101e-05
