# Ping pong run at Thu Mar  7 11:25:35 2024
# Data Size 4
# iteration, total time taken ac-240
# Processor 1 with MPI name: lac-241
# iteration, total time taken
1,  0.0028236
2,  2.60435e-05
3,  2.61618e-05
4,  2.50451e-05
5,  2.53217e-05
6,  2.52211e-05
7,  2.68016e-05
8,  4.25652e-05
9,  2.53543e-05
10,  2.55359e-05
11,  2.58386e-05
12,  2.58256e-05
13,  2.59681e-05
14,  2.62242e-05
15,  3.17562e-05
16,  1.83228e-05
17,  1.89347e-05
18,  1.80323e-05
19,  1.84784e-05
20,  2.98042e-05
21,  2.52547e-05
22,  2.53599e-05
23,  2.55629e-05
24,  2.52388e-05
25,  3.78517e-05
26,  2.57725e-05
27,  4.45163e-05
28,  1.88481e-05
29,  1.93445e-05
30,  1.85054e-05
31,  1.74977e-05
32,  1.79848e-05
33,  1.89617e-05
34,  1.81682e-05
35,  2.5182e-05
36,  1.92337e-05
37,  3.86816e-05
38,  1.80826e-05
39,  1.83573e-05
40,  1.80323e-05
41,  3.34848e-05
42,  1.86432e-05
43,  1.89887e-05
44,  1.8632e-05
45,  1.84849e-05
46,  1.80202e-05
47,  2.89101e-05
48,  2.50852e-05
49,  2.62456e-05
50,  1.95261e-05
51,  1.9324e-05
52,  1.8158e-05
53,  3.44655e-05
54,  3.13278e-05
55,  1.82707e-05
56,  1.91918e-05
57,  2.95779e-05
58,  3.10168e-05
59,  1.89394e-05
60,  2.12723e-05
61,  1.84225e-05
62,  1.82679e-05
63,  1.85939e-05
64,  1.81561e-05
65,  1.79661e-05
66,  2.57008e-05
67,  2.5915e-05
68,  3.85065e-05
69,  2.59867e-05
70,  2.06251e-05
71,  1.88714e-05
72,  1.85007e-05
73,  3.94108e-05
74,  2.93637e-05
75,  1.87531e-05
76,  1.80686e-05
77,  3.1543e-05
78,  1.87811e-05
79,  2.74424e-05
80,  1.85817e-05
81,  1.79596e-05
82,  1.809e-05
83,  5.52181e-05
84,  2.74843e-05
85,  1.84672e-05
86,  4.14215e-05
87,  1.85212e-05
88,  1.78767e-05
89,  1.81291e-05
90,  1.85166e-05
91,  2.63648e-05
92,  2.76733e-05
93,  1.8659e-05
94,  1.8321e-05
95,  3.31765e-05
96,  2.29189e-05
97,  1.85193e-05
98,  1.78637e-05
99,  1.88779e-05
100,  1.80891e-05
