# Ping pong run at Thu Mar  7 11:25:50 2024
# Data Size 128
# iteration, total time taken ac-240
# Processor 1 with MPI name: lac-241
# iteration, total time taken
1,  0.00274064
2,  2.94661e-05
3,  3.02531e-05
4,  4.01838e-05
5,  2.07545e-05
6,  2.8519e-05
7,  3.5462e-05
8,  4.25214e-05
9,  2.87089e-05
10,  3.67695e-05
11,  3.96837e-05
12,  4.0032e-05
13,  3.07122e-05
14,  2.3732e-05
15,  2.72281e-05
16,  2.06223e-05
17,  2.03038e-05
18,  2.86289e-05
19,  3.8784e-05
20,  3.59956e-05
21,  2.82666e-05
22,  2.11699e-05
23,  3.18512e-05
24,  2.16486e-05
25,  2.67969e-05
26,  3.34801e-05
27,  2.85991e-05
28,  3.38526e-05
29,  2.03438e-05
30,  3.10745e-05
31,  2.04658e-05
32,  2.00802e-05
33,  2.86195e-05
34,  3.5841e-05
35,  2.14372e-05
36,  2.09762e-05
37,  2.02302e-05
38,  2.07843e-05
39,  1.94395e-05
40,  3.87374e-05
41,  2.02851e-05
42,  1.99657e-05
43,  1.97617e-05
44,  1.988e-05
45,  2.03727e-05
46,  2.55601e-05
47,  3.20198e-05
48,  1.98716e-05
49,  1.98521e-05
50,  3.19183e-05
51,  2.03969e-05
52,  2.02646e-05
53,  1.9758e-05
54,  2.03298e-05
55,  1.99303e-05
56,  3.20943e-05
57,  2.03224e-05
58,  1.99247e-05
59,  3.52096e-05
60,  1.95522e-05
61,  1.9894e-05
62,  2.46037e-05
63,  3.30787e-05
64,  1.97506e-05
65,  2.50097e-05
66,  1.9772e-05
67,  2.03019e-05
68,  2.02684e-05
69,  1.96733e-05
70,  1.98651e-05
71,  1.98577e-05
72,  1.93464e-05
73,  2.02535e-05
74,  1.99452e-05
75,  3.23625e-05
76,  2.07238e-05
77,  2.73744e-05
78,  1.96286e-05
79,  1.99815e-05
80,  1.9555e-05
81,  4.09251e-05
82,  2.02293e-05
83,  1.97263e-05
84,  1.99052e-05
85,  3.04123e-05
86,  2.01939e-05
87,  1.99797e-05
88,  1.95941e-05
89,  1.99741e-05
90,  2.05152e-05
91,  2.07089e-05
92,  2.01641e-05
93,  1.88835e-05
94,  3.28235e-05
95,  2.0423e-05
96,  3.38499e-05
97,  2.05236e-05
98,  2.09259e-05
99,  2.85571e-05
100,  2.03084e-05
