# Ping pong run at Thu Mar  7 11:25:51 2024
# Data Size 256
# Processor 0 with MPI name: lac-240
# Processor 1 with MPI name: lac-241
# iteration, total time taken
1,  7.69524e-05
2,  3.02102e-05
3,  2.21767e-05
4,  4.04529e-05
5,  2.21031e-05
6,  2.97511e-05
7,  3.53139e-05
8,  3.32603e-05
9,  2.92622e-05
10,  2.95052e-05
11,  3.0552e-05
12,  2.91299e-05
13,  2.95024e-05
14,  2.93581e-05
15,  3.481e-05
16,  2.96785e-05
17,  2.92556e-05
18,  3.00147e-05
19,  3.01301e-05
20,  2.84845e-05
21,  3.52236e-05
22,  2.94987e-05
23,  2.9535e-05
24,  2.3054e-05
25,  4.46048e-05
26,  2.12658e-05
27,  4.51198e-05
28,  2.08281e-05
29,  2.66563e-05
30,  3.92096e-05
31,  3.37446e-05
32,  3.94825e-05
33,  3.61353e-05
34,  3.80715e-05
35,  2.14456e-05
36,  3.80697e-05
37,  2.68463e-05
38,  3.37744e-05
39,  3.87467e-05
40,  2.51811e-05
41,  2.19736e-05
42,  2.10879e-05
43,  2.704e-05
44,  2.18004e-05
45,  3.96976e-05
46,  3.32883e-05
47,  3.12105e-05
48,  2.15471e-05
49,  3.87086e-05
50,  3.37502e-05
51,  2.14716e-05
52,  2.15909e-05
53,  0.000108914
54,  2.15648e-05
55,  2.13245e-05
56,  4.18117e-05
57,  2.0355e-05
58,  2.14186e-05
59,  2.10339e-05
60,  2.93404e-05
61,  2.0721e-05
62,  2.799e-05
63,  2.51196e-05
64,  2.10358e-05
65,  3.84608e-05
66,  3.8865e-05
67,  3.88222e-05
68,  2.47117e-05
69,  2.85432e-05
70,  3.82159e-05
71,  2.8424e-05
72,  2.09222e-05
73,  2.03559e-05
74,  2.07284e-05
75,  4.38662e-05
76,  3.34224e-05
77,  2.73054e-05
78,  2.03112e-05
79,  3.88557e-05
80,  2.05142e-05
81,  2.09026e-05
82,  2.05403e-05
83,  2.10069e-05
84,  2.03643e-05
85,  2.06102e-05
86,  2.14372e-05
87,  2.01799e-05
88,  2.0192e-05
89,  4.44949e-05
90,  2.09864e-05
91,  2.15573e-05
92,  2.04602e-05
93,  3.81554e-05
94,  2.83485e-05
95,  5.15636e-05
96,  2.01277e-05
97,  2.11522e-05
98,  2.58032e-05
99,  3.84906e-05
100,  2.07126e-05
