# Ping pong run at Tue Mar 12 10:49:43 2024
# Data Size 16
# Processor 0 with MPI name: lac-079
# Processor 1 with MPI name: lac-421
# iteration, total time taken
1,  5.24456e-05
2,  2.03867e-05
3,  2.38577e-05
4,  1.91238e-05
5,  2.90377e-05
6,  1.76001e-05
7,  1.72807e-05
8,  1.66344e-05
9,  2.80822e-05
10,  1.63354e-05
11,  1.5826e-05
12,  2.70577e-05
13,  1.58139e-05
14,  1.607e-05
15,  2.39629e-05
16,  2.23378e-05
17,  1.69808e-05
18,  1.63466e-05
19,  1.66092e-05
20,  1.64891e-05
21,  1.65338e-05
22,  1.62758e-05
23,  1.64676e-05
24,  1.61706e-05
25,  1.68169e-05
26,  1.59591e-05
27,  1.61678e-05
28,  1.61519e-05
29,  1.65747e-05
30,  2.38279e-05
31,  2.65455e-05
32,  2.79471e-05
33,  2.85367e-05
34,  2.44118e-05
35,  1.69119e-05
36,  1.63689e-05
37,  2.87667e-05
38,  1.66399e-05
39,  2.88216e-05
40,  1.58539e-05
41,  1.68113e-05
42,  1.61529e-05
43,  1.69547e-05
44,  2.47108e-05
45,  1.81878e-05
46,  1.70637e-05
47,  1.64006e-05
48,  1.99508e-05
49,  1.63354e-05
50,  1.67219e-05
51,  1.66055e-05
52,  1.6219e-05
53,  1.63177e-05
54,  5.57974e-05
55,  2.92752e-05
56,  1.69072e-05
57,  2.6145e-05
58,  1.73962e-05
59,  2.15163e-05
60,  3.22489e-05
61,  1.70115e-05
62,  1.7046e-05
63,  1.72062e-05
64,  1.66995e-05
65,  1.68076e-05
66,  1.75936e-05
67,  2.07694e-05
68,  2.7976e-05
69,  2.48617e-05
70,  2.41399e-05
71,  1.86209e-05
72,  2.42153e-05
73,  1.70348e-05
74,  1.64621e-05
75,  1.6694e-05
76,  2.60947e-05
77,  1.67396e-05
78,  2.4952e-05
79,  1.74074e-05
80,  2.643e-05
81,  1.64015e-05
82,  2.43876e-05
83,  1.63205e-05
84,  2.50088e-05
85,  2.78214e-05
86,  1.69715e-05
87,  1.61305e-05
88,  2.58181e-05
89,  1.59619e-05
90,  2.58703e-05
91,  1.66977e-05
92,  4.29964e-05
93,  1.6517e-05
94,  1.69296e-05
95,  2.3758e-05
96,  1.64174e-05
97,  2.51122e-05
98,  1.62544e-05
99,  2.39434e-05
100,  2.42414e-05
