# Ping pong run at Wed Mar 13 11:48:45 2024
# Data Size 16
# Processor 0 with MPI name: lac-244
# Processor 1 with MPI name: lac-245
# iteration, total time taken
1,  0.000111614
2,  2.3894e-05
3,  2.9996e-05
4,  2.064e-05
5,  2.59113e-05
6,  2.82153e-05
7,  2.06074e-05
8,  1.96379e-05
9,  2.99318e-05
10,  2.16048e-05
11,  1.97385e-05
12,  2.79928e-05
13,  2.82759e-05
14,  2.80477e-05
15,  2.90396e-05
16,  2.21347e-05
17,  2.20714e-05
18,  2.01501e-05
19,  1.96435e-05
20,  2.06605e-05
21,  1.99489e-05
22,  1.96947e-05
23,  1.93305e-05
24,  2.05785e-05
25,  2.74461e-05
26,  2.48319e-05
27,  2.20137e-05
28,  2.01529e-05
29,  1.95019e-05
30,  1.98055e-05
31,  1.9311e-05
32,  1.80863e-05
33,  1.83443e-05
34,  1.89487e-05
35,  3.0756e-05
36,  1.93333e-05
37,  3.45223e-05
38,  2.14819e-05
39,  2.75187e-05
40,  2.69748e-05
41,  2.97045e-05
42,  3.51686e-05
43,  2.73157e-05
44,  2.18451e-05
45,  2.10591e-05
46,  3.98541e-05
47,  1.95485e-05
48,  1.95401e-05
49,  2.24356e-05
50,  1.95261e-05
51,  1.9568e-05
52,  2.01911e-05
53,  2.00961e-05
54,  2.01659e-05
55,  2.00029e-05
56,  3.11844e-05
57,  1.91303e-05
58,  2.00933e-05
59,  1.94153e-05
60,  1.94889e-05
61,  1.96062e-05
62,  2.23201e-05
63,  1.92234e-05
64,  1.98297e-05
65,  1.94628e-05
66,  2.04556e-05
67,  2.02619e-05
68,  2.46968e-05
69,  2.07871e-05
70,  2.58256e-05
71,  2.15368e-05
72,  1.94693e-05
73,  2.02339e-05
74,  1.9405e-05
75,  1.99806e-05
76,  1.98102e-05
77,  1.95568e-05
78,  1.91499e-05
79,  1.94339e-05
80,  1.89496e-05
81,  1.96761e-05
82,  2.49837e-05
83,  2.02358e-05
84,  1.93492e-05
85,  2.00411e-05
86,  1.92411e-05
87,  2.06083e-05
88,  1.97133e-05
89,  1.99303e-05
90,  2.80896e-05
91,  2.37552e-05
92,  1.99899e-05
93,  1.97105e-05
94,  1.96705e-05
95,  1.94907e-05
96,  1.94702e-05
97,  1.97627e-05
98,  2.02097e-05
99,  2.05105e-05
100,  1.93371e-05
