# Ping pong run at Wed Mar 13 11:49:07 2024
# Data Size 512
# Processor 0 with MPI name: lac-244
# Processor 1 with MPI name: lac-245
# iteration, total time taken
1,  0.00018341
2,  4.91096e-05
3,  4.16413e-05
4,  2.50451e-05
5,  3.15374e-05
6,  2.56589e-05
7,  2.41855e-05
8,  3.08929e-05
9,  2.56561e-05
10,  2.91886e-05
11,  3.59071e-05
12,  2.32905e-05
13,  3.12887e-05
14,  3.8919e-05
15,  4.06019e-05
16,  3.19779e-05
17,  3.15998e-05
18,  2.68426e-05
19,  2.67206e-05
20,  3.42848e-05
21,  2.79536e-05
22,  2.3149e-05
23,  2.55229e-05
24,  2.32374e-05
25,  2.97921e-05
26,  2.50572e-05
27,  3.42606e-05
28,  3.56762e-05
29,  2.44789e-05
30,  2.33715e-05
31,  2.94354e-05
32,  2.48067e-05
33,  4.09242e-05
34,  2.69013e-05
35,  2.3501e-05
36,  2.39797e-05
37,  2.36668e-05
38,  2.66433e-05
39,  2.42563e-05
40,  2.98843e-05
41,  2.8749e-05
42,  2.33809e-05
43,  3.35397e-05
44,  4.86886e-05
45,  2.55499e-05
46,  2.34004e-05
47,  3.14992e-05
48,  2.32253e-05
49,  2.35448e-05
50,  2.20546e-05
51,  2.67094e-05
52,  2.23629e-05
53,  2.68091e-05
54,  5.10029e-05
55,  3.16668e-05
56,  2.51802e-05
57,  2.36416e-05
58,  2.67522e-05
59,  2.30568e-05
60,  2.22549e-05
61,  2.40123e-05
62,  2.7529e-05
63,  2.50824e-05
64,  5.17713e-05
65,  2.40169e-05
66,  2.32849e-05
67,  2.21003e-05
68,  2.34414e-05
69,  2.28751e-05
70,  3.59006e-05
71,  5.12693e-05
72,  2.9929e-05
73,  2.27392e-05
74,  2.41939e-05
75,  2.42926e-05
76,  2.35615e-05
77,  2.24179e-05
78,  2.32048e-05
79,  2.33762e-05
80,  2.44081e-05
81,  2.23909e-05
82,  2.27112e-05
83,  2.23974e-05
84,  2.40579e-05
85,  2.17073e-05
86,  2.31648e-05
87,  3.02903e-05
88,  2.2931e-05
89,  2.30521e-05
90,  2.32095e-05
91,  2.2511e-05
92,  3.43984e-05
93,  2.39247e-05
94,  2.40691e-05
95,  2.32952e-05
96,  2.4288e-05
97,  2.31368e-05
98,  2.29254e-05
99,  2.35746e-05
100,  2.43336e-05
