# Ping pong run at Wed Mar 13 11:48:45 2024
# Data Size 32
# Processor 0 with MPI name: lac-244
# Processor 1 with MPI name: lac-245
# iteration, total time taken
1,  0.00012958
2,  2.54e-05
3,  2.92417e-05
4,  2.2362e-05
5,  3.08501e-05
6,  2.96328e-05
7,  2.14363e-05
8,  2.02842e-05
9,  2.11801e-05
10,  3.3211e-05
11,  2.56551e-05
12,  1.95131e-05
13,  2.12267e-05
14,  2.24598e-05
15,  2.54633e-05
16,  3.35053e-05
17,  2.06456e-05
18,  2.0544e-05
19,  3.81786e-05
20,  2.11243e-05
21,  2.045e-05
22,  2.15443e-05
23,  3.91975e-05
24,  2.24318e-05
25,  2.61525e-05
26,  2.1901e-05
27,  1.92588e-05
28,  2.95304e-05
29,  2.5169e-05
30,  2.5169e-05
31,  5.11836e-05
32,  2.68752e-05
33,  2.10982e-05
34,  4.34201e-05
35,  2.70791e-05
36,  2.1941e-05
37,  3.97014e-05
38,  3.1895e-05
39,  2.56281e-05
40,  1.99331e-05
41,  2.05459e-05
42,  2.13226e-05
43,  2.03485e-05
44,  2.21906e-05
45,  2.04938e-05
46,  1.95345e-05
47,  2.73781e-05
48,  2.99448e-05
49,  3.07132e-05
50,  1.95019e-05
51,  2.05766e-05
52,  3.07411e-05
53,  2.23126e-05
54,  3.25628e-05
55,  2.70437e-05
56,  2.72458e-05
57,  2.86717e-05
58,  3.49982e-05
59,  2.61236e-05
60,  3.2424e-05
61,  3.03909e-05
62,  2.0924e-05
63,  2.23974e-05
64,  1.95894e-05
65,  1.97114e-05
66,  1.96472e-05
67,  2.06884e-05
68,  2.69124e-05
69,  1.95019e-05
70,  2.97474e-05
71,  2.09454e-05
72,  2.16812e-05
73,  3.36925e-05
74,  3.19267e-05
75,  2.15443e-05
76,  1.91648e-05
77,  2.50386e-05
78,  2.10898e-05
79,  1.99433e-05
80,  2.02488e-05
81,  1.99946e-05
82,  2.03541e-05
83,  2.17827e-05
84,  1.94823e-05
85,  2.01063e-05
86,  3.06591e-05
87,  4.31035e-05
88,  2.32663e-05
89,  2.05953e-05
90,  1.98185e-05
91,  1.95084e-05
92,  1.95699e-05
93,  2.02972e-05
94,  1.9432e-05
95,  2.08681e-05
96,  1.94926e-05
97,  1.89943e-05
98,  1.98027e-05
99,  2.02898e-05
100,  1.98623e-05
