# Ping pong run at Wed Mar 13 11:48:52 2024
# Data Size 64
# Processor 0 with MPI name: lac-244
# Processor 1 with MPI name: lac-245
# iteration, total time taken
1,  0.000142238
2,  3.6356e-05
3,  3.4471e-05
4,  2.53478e-05
5,  2.59904e-05
6,  2.02786e-05
7,  3.97582e-05
8,  2.67746e-05
9,  2.8274e-05
10,  2.88095e-05
11,  2.85795e-05
12,  2.26535e-05
13,  2.09985e-05
14,  3.84692e-05
15,  2.87117e-05
16,  3.99873e-05
17,  2.21264e-05
18,  2.98517e-05
19,  1.99461e-05
20,  3.00528e-05
21,  1.98483e-05
22,  1.9528e-05
23,  2.43597e-05
24,  2.35941e-05
25,  2.2077e-05
26,  2.62074e-05
27,  1.94991e-05
28,  4.14597e-05
29,  2.36314e-05
30,  3.76152e-05
31,  2.07871e-05
32,  3.72976e-05
33,  1.984e-05
34,  1.99014e-05
35,  2.08532e-05
36,  4.3801e-05
37,  2.01836e-05
38,  2.007e-05
39,  1.9474e-05
40,  4.19253e-05
41,  2.04341e-05
42,  1.94991e-05
43,  4.20809e-05
44,  1.91582e-05
45,  2.13236e-05
46,  4.27179e-05
47,  2.0409e-05
48,  3.73274e-05
49,  3.10075e-05
50,  3.72492e-05
51,  2.17054e-05
52,  2.06167e-05
53,  3.56063e-05
54,  2.35112e-05
55,  3.24398e-05
56,  3.09199e-05
57,  3.69577e-05
58,  3.81265e-05
59,  2.57799e-05
60,  1.95662e-05
61,  2.14688e-05
62,  1.96863e-05
63,  3.21297e-05
64,  3.74326e-05
65,  3.14442e-05
66,  2.74805e-05
67,  3.11034e-05
68,  2.12686e-05
69,  1.87987e-05
70,  1.97459e-05
71,  1.93426e-05
72,  1.95429e-05
73,  1.984e-05
74,  1.99433e-05
75,  2.62149e-05
76,  1.99052e-05
77,  1.97701e-05
78,  1.90139e-05
79,  1.88919e-05
80,  1.96556e-05
81,  1.95699e-05
82,  1.91126e-05
83,  3.7333e-05
84,  1.98027e-05
85,  1.6666e-05
86,  1.97282e-05
87,  2.15052e-05
88,  2.82628e-05
89,  2.03308e-05
90,  2.06651e-05
91,  4.48143e-05
92,  2.21487e-05
93,  2.7027e-05
94,  2.02442e-05
95,  1.99676e-05
96,  3.83891e-05
97,  1.99238e-05
98,  1.91228e-05
99,  2.026e-05
100,  2.1576e-05
