# Ping pong run at Wed Mar 13 11:49:16 2024
# Data Size 2048
# Processor 0 with MPI name: lac-244
# Processor 1 with MPI name: lac-245
# iteration, total time taken
1,  0.000193378
2,  4.66537e-05
3,  3.73321e-05
4,  7.95703e-05
5,  4.44604e-05
6,  4.64348e-05
7,  4.51449e-05
8,  4.36688e-05
9,  4.73056e-05
10,  3.80818e-05
11,  3.56473e-05
12,  3.63467e-05
13,  3.51993e-05
14,  4.65438e-05
15,  3.45316e-05
16,  3.55365e-05
17,  5.17601e-05
18,  3.89321e-05
19,  5.47525e-05
20,  4.56646e-05
21,  5.14751e-05
22,  4.59468e-05
23,  8.23457e-05
24,  4.42294e-05
25,  4.54839e-05
26,  4.26378e-05
27,  3.45223e-05
28,  3.52794e-05
29,  3.50196e-05
30,  3.68124e-05
31,  4.59328e-05
32,  3.73675e-05
33,  4.40925e-05
34,  4.45191e-05
35,  4.55603e-05
36,  3.62871e-05
37,  3.56724e-05
38,  3.72101e-05
39,  3.54256e-05
40,  3.57227e-05
41,  3.52049e-05
42,  3.54601e-05
43,  3.60692e-05
44,  3.74895e-05
45,  3.56305e-05
46,  3.64184e-05
47,  3.48575e-05
48,  3.47858e-05
49,  4.28958e-05
50,  3.50643e-05
51,  3.55849e-05
52,  3.70899e-05
53,  3.48017e-05
54,  3.55123e-05
55,  3.51816e-05
56,  3.60971e-05
57,  3.74252e-05
58,  3.65917e-05
59,  3.5e-05
60,  3.51574e-05
61,  3.48538e-05
62,  3.64985e-05
63,  3.47141e-05
64,  3.53735e-05
65,  3.47672e-05
66,  3.43071e-05
67,  3.47598e-05
68,  3.47933e-05
69,  3.46731e-05
70,  3.49283e-05
71,  3.44617e-05
72,  3.42252e-05
73,  3.40911e-05
74,  3.47886e-05
75,  3.93009e-05
76,  3.46359e-05
77,  3.47607e-05
78,  3.41535e-05
79,  3.51351e-05
80,  3.48715e-05
81,  3.40054e-05
82,  3.82308e-05
83,  4.19188e-05
84,  3.40734e-05
85,  3.33833e-05
86,  3.39914e-05
87,  3.51416e-05
88,  3.35947e-05
89,  3.43127e-05
90,  3.93409e-05
91,  3.42736e-05
92,  3.44347e-05
93,  3.44487e-05
94,  3.36543e-05
95,  5.95357e-05
96,  3.36887e-05
97,  3.49628e-05
98,  3.43025e-05
99,  3.35993e-05
100,  3.46741e-05
